Iteration,Avg Residual,Avg Error
1,-0.0324267,0.125598
2,-0.0324104,0.125535
3,-0.0323943,0.125473
4,-0.0323784,0.125412
5,-0.0323626,0.125351
6,-0.0323468,0.125291
7,-0.0323311,0.125231
8,-0.0323155,0.125171
9,-0.0322999,0.125111
10,-0.0322844,0.125052
11,-0.0322689,0.124993
12,-0.0322535,0.124934
13,-0.0322381,0.124876
14,-0.0322227,0.124817
15,-0.0322074,0.124759
16,-0.0321921,0.124701
17,-0.0321769,0.124643
18,-0.0321617,0.124585
19,-0.0321465,0.124528
20,-0.0321314,0.124471
21,-0.0321162,0.124414
22,-0.0321012,0.124356
23,-0.0320861,0.1243
24,-0.0320711,0.124243
25,-0.0320561,0.124186
26,-0.0320412,0.12413
27,-0.0320263,0.124074
28,-0.0320114,0.124018
29,-0.0319965,0.123962
30,-0.0319817,0.123906
31,-0.0319669,0.12385
32,-0.0319521,0.123795
33,-0.0319373,0.123739
34,-0.0319226,0.123684
35,-0.0319079,0.123629
36,-0.0318932,0.123574
37,-0.0318786,0.123519
38,-0.0318639,0.123464
39,-0.0318493,0.123409
40,-0.0318348,0.123355
41,-0.0318202,0.1233
42,-0.0318057,0.123246
43,-0.0317912,0.123192
44,-0.0317767,0.123138
45,-0.0317622,0.123084
46,-0.0317478,0.12303
47,-0.0317334,0.122976
48,-0.031719,0.122923
49,-0.0317046,0.122869
50,-0.0316903,0.122816
51,-0.0316759,0.122762
52,-0.0316616,0.122709
53,-0.0316474,0.122656
54,-0.0316331,0.122603
55,-0.0316189,0.12255
56,-0.0316046,0.122498
57,-0.0315905,0.122445
58,-0.0315763,0.122392
59,-0.0315621,0.12234
60,-0.031548,0.122287
61,-0.0315339,0.122235
62,-0.0315198,0.122183
63,-0.0315057,0.122131
64,-0.0314917,0.122079
65,-0.0314776,0.122027
66,-0.0314636,0.121975
67,-0.0314496,0.121924
68,-0.0314356,0.121872
69,-0.0314217,0.121821
70,-0.0314077,0.121769
71,-0.0313938,0.121718
72,-0.0313799,0.121667
73,-0.0313661,0.121616
74,-0.0313522,0.121565
75,-0.0313384,0.121514
76,-0.0313245,0.121463
77,-0.0313107,0.121412
78,-0.0312969,0.121361
79,-0.0312832,0.121311
80,-0.0312694,0.12126
81,-0.0312557,0.12121
82,-0.031242,0.12116
83,-0.0312283,0.121109
84,-0.0312146,0.121059
85,-0.0312009,0.121009
86,-0.0311873,0.120959
87,-0.0311737,0.120909
88,-0.0311601,0.120859
89,-0.0311465,0.12081
90,-0.0311329,0.12076
91,-0.0311193,0.120711
92,-0.0311058,0.120661
93,-0.0310923,0.120612
94,-0.0310788,0.120562
95,-0.0310653,0.120513
96,-0.0310518,0.120464
97,-0.0310384,0.120415
98,-0.0310249,0.120366
99,-0.0310115,0.120317
100,-0.0309981,0.120268
101,-0.0309847,0.120219
102,-0.0309714,0.120171
103,-0.030958,0.120122
104,-0.0309447,0.120074
105,-0.0309313,0.120025
106,-0.030918,0.119977
107,-0.0309047,0.119929
108,-0.0308915,0.11988
109,-0.0308782,0.119832
110,-0.030865,0.119784
111,-0.0308517,0.119736
112,-0.0308385,0.119688
113,-0.0308253,0.119641
114,-0.0308122,0.119593
115,-0.030799,0.119545
116,-0.0307859,0.119498
117,-0.0307727,0.11945
118,-0.0307596,0.119403
119,-0.0307465,0.119355
120,-0.0307334,0.119308
121,-0.0307204,0.119261
122,-0.0307073,0.119214
123,-0.0306943,0.119167
124,-0.0306812,0.11912
125,-0.0306682,0.119073
126,-0.0306552,0.119026
127,-0.0306423,0.118979
128,-0.0306293,0.118932
129,-0.0306163,0.118886
130,-0.0306034,0.118839
131,-0.0305905,0.118792
132,-0.0305776,0.118746
133,-0.0305647,0.1187
134,-0.0305518,0.118653
135,-0.030539,0.118607
136,-0.0305261,0.118561
137,-0.0305133,0.118515
138,-0.0305005,0.118469
139,-0.0304877,0.118423
140,-0.0304749,0.118377
141,-0.0304621,0.118331
142,-0.0304493,0.118285
143,-0.0304366,0.11824
144,-0.0304239,0.118194
145,-0.0304112,0.118149
146,-0.0303984,0.118103
147,-0.0303858,0.118058
148,-0.0303731,0.118012
149,-0.0303604,0.117967
150,-0.0303478,0.117922
151,-0.0303351,0.117877
152,-0.0303225,0.117832
153,-0.0303099,0.117787
154,-0.0302973,0.117742
155,-0.0302848,0.117697
156,-0.0302722,0.117652
157,-0.0302596,0.117607
158,-0.0302471,0.117562
159,-0.0302346,0.117518
160,-0.0302221,0.117473
161,-0.0302096,0.117429
162,-0.0301971,0.117384
163,-0.0301846,0.11734
164,-0.0301722,0.117296
165,-0.0301597,0.117251
166,-0.0301473,0.117207
167,-0.0301349,0.117163
168,-0.0301225,0.117119
169,-0.0301101,0.117075
170,-0.0300977,0.117031
171,-0.0300854,0.116987
172,-0.030073,0.116943
173,-0.0300607,0.116899
174,-0.0300484,0.116856
175,-0.0300361,0.116812
176,-0.0300238,0.116769
177,-0.0300115,0.116725
178,-0.0299992,0.116682
179,-0.029987,0.116638
180,-0.0299747,0.116595
181,-0.0299625,0.116552
182,-0.0299503,0.116508
183,-0.0299381,0.116465
184,-0.0299259,0.116422
185,-0.0299137,0.116379
186,-0.0299016,0.116336
187,-0.0298894,0.116293
188,-0.0298773,0.11625
189,-0.0298651,0.116208
190,-0.029853,0.116165
191,-0.0298409,0.116122
192,-0.0298288,0.116079
193,-0.0298168,0.116037
194,-0.0298047,0.115994
195,-0.0297926,0.115952
196,-0.0297806,0.11591
197,-0.0297686,0.115867
198,-0.0297566,0.115825
199,-0.0297446,0.115783
200,-0.0297326,0.115741
201,-0.0297206,0.115698
202,-0.0297086,0.115656
203,-0.0296967,0.115614
204,-0.0296847,0.115572
205,-0.0296728,0.115531
206,-0.0296609,0.115489
207,-0.029649,0.115447
208,-0.0296371,0.115405
209,-0.0296252,0.115364
210,-0.0296134,0.115322
211,-0.0296015,0.115281
212,-0.0295897,0.115239
213,-0.0295778,0.115198
214,-0.029566,0.115156
215,-0.0295542,0.115115
216,-0.0295424,0.115074
217,-0.0295306,0.115032
218,-0.0295189,0.114991
219,-0.0295071,0.11495
220,-0.0294954,0.114909
221,-0.0294836,0.114868
222,-0.0294719,0.114827
223,-0.0294602,0.114786
224,-0.0294485,0.114746
225,-0.0294368,0.114705
226,-0.0294251,0.114664
227,-0.0294135,0.114623
228,-0.0294018,0.114583
229,-0.0293902,0.114542
230,-0.0293786,0.114502
231,-0.0293669,0.114461
232,-0.0293553,0.114421
233,-0.0293437,0.11438
234,-0.0293322,0.11434
235,-0.0293206,0.1143
236,-0.029309,0.11426
237,-0.0292975,0.11422
238,-0.029286,0.114179
239,-0.0292744,0.114139
240,-0.0292629,0.114099
241,-0.0292514,0.11406
242,-0.0292399,0.11402
243,-0.0292285,0.11398
244,-0.029217,0.11394
245,-0.0292055,0.1139
